collection,collection_id,seq,title,member,suffix,method,method_source,method_context_source,method_context_chars,artifact_type,artifact_types,chars,has_task_prompt,has_evaluation_form,has_candidate_instruction,has_interviewer_instruction,has_time_limit,has_scoring_criteria,has_rating_scale,task_prompt_style,followup_section_labels,prep_minutes,presentation_minutes,qa_minutes,discussion_minutes,rating_scale_labels,evaluation_elements,terms
전형별 평가샘플,evaluation-sample,20250115104842318,(2024고도화)통신서비스_20-02-03,20250115104842318_(2024고도화)통신서비스_20-02-03.hwp,.hwp,경험면접,document_text,document_section,23158,job_description,job_description; job_posting; task; evaluation_form,196329,True,True,False,True,False,True,True,experience_or_similar_training_case,질문,,,,,탁월; 우수; 보통; 미흡; 부족; 100; 90; 80; 70; 60,(기준)은‘직무기술서(신입사원 선발용)’를 참고하여 평가함 # 2. 경력사원 선발용 ### ■ 기본 정보 면접번호 지원부문 평가장 평가위원 합계; (기준)은‘직무기술서(경력사원 선발용)’를 참고하여 평가함; 향상 노력을 했습니까? [결과]; 정보통신서비스 직무중 제시한 문제를 해결 시도한 결과는 어떠했습니까? 그 결과에 대해 어떤 생각이 들었습니까?; 해결 과정에서 얻은 교훈이나 개선점은 무엇이었으며; 이를 향후 유사 상황 발생 시 어떻게 적용할 계획입니까? 2. 팀 내에서 업무량의 불; 문제해결; 의사결정,향상 노력을 했습니까? [결과] • 정보통신서비스 직무중 제시한 문제를 해결 시도한 결과는 어떠했습니까? 그 결과에 대해 어떤 생각이 들었습니까
전형별 평가샘플,evaluation-sample,20250115104842318,(2024고도화)통신서비스_20-02-03,20250115104842318_(2024고도화)통신서비스_20-02-03.hwp,.hwp,상황면접,document_text,document_section,16446,job_description,job_description; job_posting; task; evaluation_form,196329,True,True,False,True,False,False,True,work_situation_judgment,질문,,,,,탁월; 우수; 보통; 미흡; 100; 90; 80; 70; 60,(기준)은‘직무기술서(신입사원 선발용)’를 참고하여 평가함 # 2. 경력사원 선발용 ### ■ 기본 정보 면접번호 지원부문 평가장 평가위원 합계; (기준)은‘직무기술서(경력사원 선발용)’를 참고하여 평가함; 문제해결; 의사결정,
전형별 평가샘플,evaluation-sample,20250115104842318,(2024고도화)통신서비스_20-02-03,20250115104842318_(2024고도화)통신서비스_20-02-03.hwp,.hwp,발표면접,document_text,document_section,25364,job_description,job_description; job_posting; task; evaluation_form,196329,True,True,True,True,True,False,True,presentation_materials_qna,질문; 질의응답,20,20; 5,,,탁월; 우수; 보통; 미흡; 부족; 100; 90; 80; 70; 60,(기준)은‘직무기술서(신입사원 선발용)’를 참고하여 평가함 2. 직무수행능력 中‘기술’에 해당되는 능력의 평가주안점(기준)은‘직무기술서(신입사원; (기준)은‘직무기술서(경력사원 선발용)’를 참고하여 평가함 2. 직무수행능력 中‘기술’에 해당되는 능력의 평가주안점(기준)은‘직무기술서(경력사원; 의사결정,
전형별 평가샘플,evaluation-sample,20250115104842318,(2024고도화)통신서비스_20-02-03,20250115104842318_(2024고도화)통신서비스_20-02-03.hwp,.hwp,토론면접,document_text,document_section,27050,job_description,job_description; job_posting; task; evaluation_form,196329,True,True,True,True,True,True,True,discussion_consensus,,20,,,20; 30; 1,탁월; 우수; 보통; 미흡; 100; 90; 80; 70; 60,(기준)은‘직무기술서(신입사원 선발용)’를 참고하여 평가함 # 2. 경력사원 선발용 ### ■ 기본 정보 면접번호 지원부문 평가장 평가위원 합계; (기준)은‘직무기술서(경력사원 선발용)’를 참고하여 평가함; 을 활용하여 새로운 시장 기회를 확보할 수 있는 전략과 통신 서비스 기업의 약점을 보완하여 시장의 위협을 회피할 수 있는 전략을 균형적으로 다루; 문제해결; 의사결정,을 활용하여 새로운 시장 기회를 확보할 수 있는 전략과 통신 서비스 기업의 약점을 보완하여 시장의 위협을 회피할 수 있는 전략을 균형적으로 다루; 면접위원
전형별 평가샘플,evaluation-sample,20250115104842318,(2024고도화)통신서비스_20-02-03,20250115104842318_(2024고도화)통신서비스_20-02-03.hwp,.hwp,창의적 문제해결력면접,document_text,document_section,6280,job_description,job_description; job_posting; task; evaluation_form,196329,True,True,True,True,True,False,True,creative_future_prediction_solution,질문; 질의응답,20; 5; 7,5; 7,5,,탁월; 우수; 보통; 미흡; 부족; 100; 90; 80; 70; 60,평가 점수 탁월 우수 보통 미흡 기준 미달 100점 90점 80점 70점 60점 상황 판단력 혁신적 사고 논리적 사고와 분석력 적용 가능성과 실; 는 창의적 문제해결력 면접과 관련하여 새롭게 구성하였음; 부족; 기존 미디어 기업과의 경쟁 등 여러 도전에 직면해 있습니다. 통신사들은 자사의 강점을 살린 차별화된 콘텐츠 전략을 수립하고; 효과적인 투자와 운영 방안을 모색해야 하는 상황입니다. 참고 자료 4: 통신사의 핀테크 도전: 모바일 금융 서비스의 확장 제목: 모바일 결제; 송금 등 다; 창의적 사고; 상황 판단; 혁신적 사고; 문제해결,"평가 점수 탁월 우수 보통 미흡 기준 미달 100점 90점 80점 70점 60점 상황 판단력 혁신적 사고 논리적 사고와 분석력 적용 가능성과 실; 평가 점수 탁월 우수 보통 미흡 기준 미달 100점 90점 80점 70점 60점 문제해결능력 의사결정능력 소계 ( )점 ### ■ 총평 ※참고; 는 창의적 문제해결력 면접과 관련하여 새롭게 구성하였음; 부족, 기존 미디어 기업과의 경쟁 등 여러 도전에 직면해 있습니다. 통신사들은 자사의 강점을 살린 차별화된 콘텐츠 전략을 수립하고, 효과적인 투; 평가요소; 면접과제"
전형별 평가샘플,evaluation-sample,20250115104827226,(2024고도화)토목설계감리_14-02-01,20250115104827226_(2024고도화)토목설계감리_14-02-01.hwp,.hwp,경험면접,document_text,document_section,22357,job_description,job_description; job_posting; task; evaluation_form,216923,True,True,False,True,False,True,True,experience_or_similar_training_case,질문,,,,,탁월; 우수; 보통; 미흡; 부족; 100; 90; 80; 70; 60,(기준)은‘직무기술서(신입사원 선발용)’를 참고하여 평가함 # 2. 경력사원 선발용 ### ■ 기본 정보 면접번호 지원부문 평가장 평가위원 합계; (기준)은‘직무기술서(경력사원 선발용)’를 참고하여 평가함; 문제해결; 의사결정,
전형별 평가샘플,evaluation-sample,20250115104827226,(2024고도화)토목설계감리_14-02-01,20250115104827226_(2024고도화)토목설계감리_14-02-01.hwp,.hwp,상황면접,document_text,document_section,15760,job_description,job_description; job_posting; task; evaluation_form,216923,True,True,False,True,False,False,True,work_situation_judgment,질문,,,,,탁월; 우수; 보통; 미흡; 부족; 100; 90; 80; 70; 60,(기준)은‘직무기술서(신입사원 선발용)’를 참고하여 평가함 # 2. 경력사원 선발용 ### ■ 기본 정보 면접번호 지원부문 평가장 평가위원 합계; (기준)은‘직무기술서(경력사원 선발용)’를 참고하여 평가함; 문제해결,
전형별 평가샘플,evaluation-sample,20250115104827226,(2024고도화)토목설계감리_14-02-01,20250115104827226_(2024고도화)토목설계감리_14-02-01.hwp,.hwp,발표면접,document_text,document_section,40744,job_description,job_description; job_posting; task; evaluation_form,216923,True,True,True,True,True,False,True,presentation_materials_qna,질문; 질의응답,20,20; 5,,,탁월; 우수; 보통; 미흡; 부족; 100; 90; 80; 70; 60,"(기준)은‘직무기술서(신입사원 선발용)’를 참고하여 평가함 2. 직무수행능력 中‘기술’에 해당되는 능력의 평가주안점(기준)은‘직무기술서(신입사원; (기준)은‘직무기술서(경력사원 선발용)’를 참고하여 평가함 2. 직무수행능력 中‘기술’에 해당되는 능력의 평가주안점(기준)은‘직무기술서(경력사원; 을 강화하는 것이 중요하다고 강조했다. 그는 ""관리자는 최신 기술과 방법론에 대한 이해를 지속적으로 업데이트하고; 현장 상황에 맞게 이를 적용할 수 있는 능력을 갖추어야 한다""며; 이를 통해 시공관리의 효과성을 극대화할 수 있다고 결론지었다. 4. 학술논문 ""시공관리에서의 리스크 관리와; 을 갖추는 것이 필수적이다""라고 말하며; 이러한 교육과 훈련이 공사 전 과정에서 일관되게 이루어져야 한다고 덧붙였다. 더 나아가; 윌슨 박사는 품질 관리 시스템이 현장 실정에 맞게 유연하게 적용될 수 있도록 설계되어야 하며; 이를 통해 예상치 못한 문제들에 신속하게 대응할 수 있다고 강; 의사결정","을 강화하는 것이 중요하다고 강조했다. 그는 ""관리자는 최신 기술과 방법론에 대한 이해를 지속적으로 업데이트하고, 현장 상황에 맞게 이를 적용할; 을 갖추는 것이 필수적이다""라고 말하며, 이러한 교육과 훈련이 공사 전 과정에서 일관되게 이루어져야 한다고 덧붙였다. 더 나아가, 윌슨 박사는"
전형별 평가샘플,evaluation-sample,20250115104827226,(2024고도화)토목설계감리_14-02-01,20250115104827226_(2024고도화)토목설계감리_14-02-01.hwp,.hwp,토론면접,document_text,document_section,37936,job_description,job_description; job_posting; task; evaluation_form,216923,True,True,True,True,True,True,True,discussion_consensus,,20,,,20; 30; 1,탁월; 우수; 보통; 미흡; 100; 90; 80; 70; 60,(기준)은‘직무기술서(신입사원 선발용)’를 참고하여 평가함 # 2. 경력사원 선발용 ### ■ 기본 정보 면접번호 지원부문 평가장 평가위원 합계; (기준)은‘직무기술서(경력사원 선발용)’를 참고하여 평가함; 강화를 통해 품질 문제를 사전에 예방할 수 있다고 설명했다. 참고자료 4. 품질 관리를 통한 건설 프로젝트 성공 사례 분석 이 학술논문은 품질 ; 문제해결; 의사결정,강화를 통해 품질 문제를 사전에 예방할 수 있다고 설명했다. 참고자료 4. 품질 관리를 통한 건설 프로젝트 성공 사례 분석 이 학술논문은 품질; 면접위원
전형별 평가샘플,evaluation-sample,20250115104827226,(2024고도화)토목설계감리_14-02-01,20250115104827226_(2024고도화)토목설계감리_14-02-01.hwp,.hwp,창의적 문제해결력면접,document_text,document_section,6234,job_description,job_description; job_posting; task; evaluation_form,216923,True,True,True,True,True,False,True,creative_future_prediction_solution,질문; 질의응답,20; 5; 7,5; 7,5,,탁월; 우수; 보통; 미흡; 부족; 70; 60; 90; 100; 80,평가 점수 탁월 우수 보통 미흡 기준 미달 100점 90점 80점 70점 60점 문제의 본질 파악 창의적 아이디어 논리적 사고와 분석력 적용 가; 는 창의적 문제해결력 면접과 관련하여 새롭게 구성하였음; 창의적 사고; 문제해결; 의사결정,평가 점수 탁월 우수 보통 미흡 기준 미달 100점 90점 80점 70점 60점 문제의 본질 파악 창의적 아이디어 논리적 사고와 분석력 적용 가; 평가 점수 탁월 우수 보통 미흡 기준 미달 100점 90점 80점 70점 60점 문제해결능력 의사소통능력 소계 ( )점 ### ■ 총평 ※참고; 는 창의적 문제해결력 면접과 관련하여 새롭게 구성하였음; 평가요소; 면접과제
