idx,attachment,detail,canonical_detail,member,question_index,type,competency,ncsClCd,question_source,model_question_raw,model_followups_raw,model_evaluation_points_raw,model_question_preserved,model_replacement_reasons,question,follow_ups,evaluation_points,ksa_refs,ksa_evidence_count,score,ready,issues
303039,303039_1_직무기술서.zip,스포츠시설운영관리,스포츠시설운영관리,1. [강원랜드] 직무설명서_워터월드 수상안전.pdf; 11. [강원랜드] 직무설명서_체육시설관리(복지관 운영보조).pdf; 2. [강원랜드] 직무설명서_레저운영.pdf,1,경험면접,스포츠시설 경영기획,1204020201_22v3,model,"스포츠시설 경영기획에서 경영 전략 및 경영방침을 적용했던 경험을 말씀해 주세요. 당시 상황, 본인 역할, 선택한 행동, 결과와 학습을 포함해 설명해 주세요.","당시 상황은 어땠으며, 어떤 자료를 확인하셨나요? | 경영 전략 및 경영방침을 기준으로 그 판단이나 행동을 선택한 이유는 무엇입니까? | 결과 확인, 후속점검, 리스크 보완은 어떻게 하겠습니까?",구체적 상황 설명 | 본인 역할과 행동 | 성과와 학습,True,,"스포츠시설 경영기획에서 경영 전략 및 경영방침을 적용했던 경험을 말씀해 주세요. 당시 상황, 본인 역할, 선택한 행동, 결과와 학습을 포함해 설명해 주세요.","당시 상황은 어땠으며, 어떤 자료를 확인하셨나요? | 경영 전략 및 경영방침을 기준으로 그 판단이나 행동을 선택한 이유는 무엇입니까? | 결과 확인, 후속점검, 리스크 보완은 어떻게 하겠습니까?",구체적 상황 설명 | 본인 역할과 행동 | 성과와 학습 | 판단 근거와 협업 | 결과 지표와 학습 | 경영 전략 및 경영방침 적용 근거,경영 전략 및 경영방침 | 소비자 패턴분석 능력 | 고객 소비자 특성을 정확히 파악하려는 자세,3,1.0,True,
303039,303039_1_직무기술서.zip,보안,보안,12. [강원랜드] 직무설명서_직원숙소 운영보조.pdf,2,상황면접,경비계획,1101010101_14v1,model_main_repaired_followups,"보안 업무 중 현장(경비)조사 능력과 관련한 구체적 상황입니다. 어떤 판단 기준으로 위험을 통제하고, 사실 확인부터 보고와 실행까지 어떤 순서로 행동하시겠습니까?","먼저 확인할 상황·자료·문서는 무엇입니까? | 그 판단 기준은 무엇이며, 이를 기반으로 어떤 행동을 선택하시겠습니까? | 상황 결과에 대한 후속 점검은 어떻게 진행하실 건가요?",판단 기준 | 위험요인 인식 | 이해관계자 대응,True,follow_up_focus_injected,"보안 업무 중 현장(경비)조사 능력과 관련한 구체적 상황입니다. 어떤 판단 기준으로 위험을 통제하고, 사실 확인부터 보고와 실행까지 어떤 순서로 행동하시겠습니까?","먼저 확인할 상황·자료·문서는 무엇입니까? | '현장(경비)조사 능력'과 관련해 그 판단 기준은 무엇이며, 이를 기반으로 어떤 행동을 선택하시겠습니까? | 상황 결과에 대한 후속 점검은 어떻게 진행하실 건가요?",판단 기준 | 위험요인 인식 | 이해관계자 대응 | 핵심 사실 확인 | 행동 순서와 첫 조치 | 환경조사분석기법 적용 근거,현장(경비)조사 능력 | 환경조사분석기법 | 고객의 요구사항에 대한 객관적 태도,3,1.0,True,
303039,303039_1_직무기술서.zip,구조물해체,구조물해체,3. [강원랜드] 직무설명서_슬로프 관리.pdf,3,발표면접,구조물해체 도면파악,1403021201_20v3,model_main_repaired_followups,"[발표과제] 구조물해체 도면파악에서 도면 숙지 의지 관련 자료가 주어졌다고 가정하고 현황을 진단하고 대안 2가지, 실행계획, 성과지표를 발표해 주세요.",해당 자료에 대한 근거자료는 무엇입니까? | 왜 선택한 대안 2가지가 우선적으로 실행될 수 있는지 설명해 주세요. | 발표에 대한 반대 의견이 있을 경우 어떻게 대응하실 건가요?,자료 분석력 | 논리적 구조화 | 대안의 실행가능성,True,follow_up_focus_injected,"[발표과제] 구조물해체 도면파악에서 도면 숙지 의지 관련 자료가 주어졌다고 가정하고 현황을 진단하고 대안 2가지, 실행계획, 성과지표를 발표해 주세요.",'도면 숙지 의지'를 발표 쟁점으로 볼 때 해당 자료에 대한 근거자료는 무엇입니까? | 왜 선택한 대안 2가지가 우선적으로 실행될 수 있는지 설명해 주세요. | 발표에 대한 반대 의견이 있을 경우 어떻게 대응하실 건가요?,자료 분석력 | 논리적 구조화 | 대안의 실행가능성 | 실행계획 구체성 | KSF 1501 건축제도 통칙 적용 근거 | 각종 표시기호 활용 기술 적용 근거,도면 숙지 의지 | KSF 1501 건축제도 통칙 | 각종 표시기호 활용 기술,3,1.0,True,
303039,303039_1_직무기술서.zip,식음료접객,식음료접객,5. [강원랜드] 직무설명서_식음.pdf,4,토론면접,식음료 영업 준비,1301020101_22v3,model_main_repaired_followups,"[토론과제] 식음료영업 준비에서 영업장 메뉴 관련 두 입장이 충돌합니다. 본인 입장, 반대 의견 검토, 조정 방식, 합의안을 토론해 주세요.",본인 입장에 대한 근거는 무엇입니까? | 반대 의견에 대해 어떻게 경청하고 이해할 것인지 설명해 주세요. | 합의안 도출을 위해 어떤 조정 방식을 사용할 것인가요?,근거 제시 | 경청과 상호작용 | 갈등 조정,True,follow_up_focus_injected,"[토론과제] 식음료영업 준비에서 영업장 메뉴 관련 두 입장이 충돌합니다. 본인 입장, 반대 의견 검토, 조정 방식, 합의안을 토론해 주세요.",'영업장 메뉴'를 토론 쟁점으로 볼 때 본인 입장에 대한 근거는 무엇입니까? | 반대 의견에 대해 어떻게 경청하고 이해할 것인지 설명해 주세요. | 합의안 도출을 위해 어떤 조정 방식을 사용할 것인가요?,근거 제시 | 경청과 상호작용 | 갈등 조정 | 초기 입장의 근거 | 합의안 도출 | 기물종류 및 취급방법 적용 근거,영업장 메뉴 | 기물종류 및 취급방법 | 기물 파지 및 운반 능력,3,1.0,True,
303039,303039_1_직무기술서.zip,한식조리,한식조리,6. [강원랜드] 직무설명서_조리.pdf,5,인바스켓면접,한식 면류조리,1301010103_21v4,model_main_repaired_followups,"[인바스켓과제] 제한시간 안에 한식 면류조리 관련 여러 문서와 요청이 들어왔습니다. 식재료 선별능력을 기준으로 우선순위, 보고, 위임, 직접처리 판단을 제시해 주세요.",문서와 요청을 분류하기 위한 기준은 무엇인가요? | 우선순위 결정 과정에서 어떤 요소를 고려했나요? | 직접 처리할 내용을 어떻게 판단하셨는지 설명해 주세요.,우선순위 판단 | 문서·요청 분류 | 시간 관리,True,follow_up_focus_injected,"[인바스켓과제] 제한시간 안에 한식 면류조리 관련 여러 문서와 요청이 들어왔습니다. 식재료 선별능력을 기준으로 우선순위, 보고, 위임, 직접처리 판단을 제시해 주세요.",'식재료 선별능력'을 처리 기준으로 삼을 때 문서와 요청을 분류하기 위한 기준은 무엇인가요? | 우선순위 결정 과정에서 어떤 요소를 고려했나요? | 직접 처리할 내용을 어떻게 판단하셨는지 설명해 주세요.,우선순위 판단 | 문서·요청 분류 | 시간 관리 | 보고·위임·직접처리 판단 | 시간관리 | 주재료의 종류 적용 근거,식재료 선별능력 | 주재료의 종류 | 면 종류에 따라 사용하는 재료의 선택능력,3,1.0,True,
303039,303039_1_직무기술서.zip,양식조리,양식조리,6. [강원랜드] 직무설명서_조리.pdf,6,직무지식면접,양식 스톡조리,1301010202_21v4,model_main_repaired_followups,"양식 스톡조리에서 안전사항 준수와 관련해 확인해야 할 절차, 기준, 산출물, 예외상황 대응과 품질 점검 방법을 설명해 주세요.",절차 확인을 위해 어떤 기준을 참고하셨나요? | 예외상황 발생 시 어떤 조치를 취해야 한다고 생각하십니까? | 산출물 품질 점검은 어떻게 진행하실 건가요?,절차·기준 이해 | 직무지식 적용 | 산출물 품질,True,follow_up_focus_injected,"양식 스톡조리에서 안전사항 준수와 관련해 확인해야 할 절차, 기준, 산출물, 예외상황 대응과 품질 점검 방법을 설명해 주세요.",'안전사항 준수'와 관련한 기준으로 절차 확인을 위해 어떤 기준을 참고하셨나요? | 예외상황 발생 시 어떤 조치를 취해야 한다고 생각하십니까? | 산출물 품질 점검은 어떻게 진행하실 건가요?,절차·기준 이해 | 직무지식 적용 | 산출물 품질 | 예외상황 판단 | 스톡의 종류와 조리법 적용 근거 | 냉장·냉동고 관리 능력 적용 근거,안전사항 준수 | 스톡의 종류와 조리법 | 냉장·냉동고 관리 능력,3,1.0,True,
303034,303034_1_직무기술서(사회복지사).hwp,사회복지 사례관리,사회복지사례관리,303034_1_직무기술서(사회복지사).hwp,1,경험면접,사회복지사례관리 실행계획 수립,0701020405_23v4,model,"사회복지사례관리에서 강점관점 개념을 적용했던 경험을 말씀해 주세요. 당시 상황, 본인 역할, 선택한 행동, 결과와 학습을 포함해 설명해 주세요.","당시 어떤 상황에서 강점관점 개념을 적용했는지 설명해 주시겠습니까? | 그 판단이나 행동을 선택한 이유는 무엇입니까? | 결과 확인, 후속점검, 리스크 보완은 어떻게 하겠습니까?",구체적 상황 설명 | 본인 역할과 행동 | 성과와 학습,True,,"사회복지사례관리에서 강점관점 개념을 적용했던 경험을 말씀해 주세요. 당시 상황, 본인 역할, 선택한 행동, 결과와 학습을 포함해 설명해 주세요.","당시 어떤 상황에서 강점관점 개념을 적용했는지 설명해 주시겠습니까? | 그 판단이나 행동을 선택한 이유는 무엇입니까? | 결과 확인, 후속점검, 리스크 보완은 어떻게 하겠습니까?",구체적 상황 설명 | 본인 역할과 행동 | 성과와 학습 | 판단 근거와 협업 | 결과 지표와 학습 | 강점관점 개념 적용 근거,"강점관점 개념 | 목적, 목표 작성기술 | 사례관리대상자의 욕구를 존중하는 자세",3,1.0,True,
303034,303034_1_직무기술서(사회복지사).hwp,사회복지 사례관리,사회복지사례관리,303034_1_직무기술서(사회복지사).hwp,2,상황면접,사회복지사례관리 실행계획 수립,0701020405_23v4,model_main_repaired_followups,"사회복지사례관리 중 목적, 목표 작성기술과 관련한 구체적 상황입니다. 어떤 판단 기준으로 위험을 통제하고, 사실 확인부터 보고와 실행까지 어떤 순서로 행동하시겠습니까?","먼저 확인할 상황·자료·문서는 무엇입니까? | 그 판단이나 행동을 선택한 이유는 무엇입니까? | 결과 확인, 후속점검, 리스크 보완은 어떻게 하겠습니까?",판단 기준 | 위험요인 인식 | 행동 우선순위,True,follow_up_focus_injected,"사회복지사례관리 중 목적, 목표 작성기술과 관련한 구체적 상황입니다. 어떤 판단 기준으로 위험을 통제하고, 사실 확인부터 보고와 실행까지 어떤 순서로 행동하시겠습니까?","먼저 확인할 상황·자료·문서는 무엇입니까? | '목적, 목표 작성기술'과 관련해 그 판단이나 행동을 선택한 이유는 무엇입니까? | 결과 확인, 후속점검, 리스크 보완은 어떻게 하겠습니까?",판단 기준 | 위험요인 인식 | 행동 우선순위 | 핵심 사실 확인 | 행동 순서와 첫 조치 | 강점관점 개념 적용 근거,"목적, 목표 작성기술 | 강점관점 개념 | 사례관리대상자의 욕구를 존중하는 자세",3,1.0,True,
303034,303034_1_직무기술서(사회복지사).hwp,사회복지 사례관리,사회복지사례관리,303034_1_직무기술서(사회복지사).hwp,3,발표면접,사회복지사례관리 실행계획 수립,0701020405_23v4,model_main_repaired_followups,"[발표과제] 사회복지사례관리에서 사례관리대상자의 욕구를 존중하는 자세와 관련 자료가 주어졌다고 가정하고 현황을 진단하고 대안 2가지, 실행계획, 성과지표를 발표해 주세요.",진단에 대한 근거자료는 무엇입니까? | 왜 선택한 대안이 우선인지 설명해 주시겠습니까? | 성과지표는 어떻게 설정하셨나요?,자료 분석력 | 논리적 구조화 | 대안의 실행가능성,True,follow_up_focus_injected,"[발표과제] 사회복지사례관리에서 사례관리대상자의 욕구를 존중하는 자세와 관련 자료가 주어졌다고 가정하고 현황을 진단하고 대안 2가지, 실행계획, 성과지표를 발표해 주세요.",'사례관리대상자의 욕구를 존중하는 자세'를 발표 쟁점으로 볼 때 진단에 대한 근거자료는 무엇입니까? | 왜 선택한 대안이 우선인지 설명해 주시겠습니까? | 성과지표는 어떻게 설정하셨나요?,"자료 분석력 | 논리적 구조화 | 대안의 실행가능성 | 실행계획 구체성 | 강점관점 개념 적용 근거 | 목적, 목표 작성기술 적용 근거","사례관리대상자의 욕구를 존중하는 자세 | 강점관점 개념 | 목적, 목표 작성기술",3,1.0,True,
303034,303034_1_직무기술서(사회복지사).hwp,사회복지 사례관리,사회복지사례관리,303034_1_직무기술서(사회복지사).hwp,4,토론면접,사회복지사례관리 실행계획 수립,0701020405_23v4,model_main_repaired_followups,"[토론과제] 사회복지사례관리에서 역량강화(empowerment) 이론 관련 두 입장이 충돌합니다. 본인 입장, 반대 의견 검토, 조정 방식, 합의안을 토론해 주세요.",본인 입장을 뒷받침하는 근거는 무엇입니까? | 반대 의견에 대해 어떻게 경청하셨습니까? | 합의안을 도출하기 위해 어떤 조정을 하셨나요?,근거 제시 | 경청과 상호작용 | 갈등 조정,True,follow_up_focus_injected,"[토론과제] 사회복지사례관리에서 역량강화(empowerment) 이론 관련 두 입장이 충돌합니다. 본인 입장, 반대 의견 검토, 조정 방식, 합의안을 토론해 주세요.",'역량강화(empowerment) 이론'을 토론 쟁점으로 볼 때 본인 입장을 뒷받침하는 근거는 무엇입니까? | 반대 의견에 대해 어떻게 경청하셨습니까? | 합의안을 도출하기 위해 어떤 조정을 하셨나요?,근거 제시 | 경청과 상호작용 | 갈등 조정 | 초기 입장의 근거 | 합의안 도출 | 강점관점 개념 적용 근거,"역량강화(empowerment) 이론 | 강점관점 개념 | 목적, 목표 작성기술",3,1.0,True,
303034,303034_1_직무기술서(사회복지사).hwp,사회복지 사례관리,사회복지사례관리,303034_1_직무기술서(사회복지사).hwp,5,인바스켓면접,사회복지사례관리 실행계획 수립,0701020405_23v4,model_main_repaired_followups,"[인바스켓과제] 제한시간 안에 사회복지사례관리 관련 여러 문서와 요청이 들어왔습니다. 정보수집 기술을 기준으로 우선순위, 보고, 위임, 직접처리 판단을 제시해 주세요.",문서 분류를 어떻게 하셨습니까? | 우선순위를 결정한 이유는 무엇입니까? | 첫 조치는 무엇으로 하셨나요?,우선순위 판단 | 문서·요청 분류 | 시간관리,True,follow_up_focus_injected,"[인바스켓과제] 제한시간 안에 사회복지사례관리 관련 여러 문서와 요청이 들어왔습니다. 정보수집 기술을 기준으로 우선순위, 보고, 위임, 직접처리 판단을 제시해 주세요.",'정보수집 기술'을 처리 기준으로 삼을 때 문서 분류를 어떻게 하셨습니까? | 우선순위를 결정한 이유는 무엇입니까? | 첫 조치는 무엇으로 하셨나요?,"우선순위 판단 | 문서·요청 분류 | 시간관리 | 보고·위임·직접처리 판단 | 강점관점 개념 적용 근거 | 목적, 목표 작성기술 적용 근거","정보수집 기술 | 강점관점 개념 | 목적, 목표 작성기술",3,1.0,True,
