idx,attachment,detail,canonical_detail,member,question_index,type,competency,ncsClCd,question_source,model_question_raw,model_followups_raw,model_evaluation_points_raw,model_question_preserved,model_replacement_reasons,question,follow_ups,evaluation_points,ksa_refs,ksa_evidence_count,score,ready,issues
303039,303039_1_직무기술서.zip,스포츠시설운영관리,스포츠시설운영관리,1. [강원랜드] 직무설명서_워터월드 수상안전.pdf; 11. [강원랜드] 직무설명서_체육시설관리(복지관 운영보조).pdf; 2. [강원랜드] 직무설명서_레저운영.pdf,1,경험면접,스포츠시설 경영기획,1204020201_22v3,template_fallback,,,,False,no_model_question,"스포츠시설운영관리 세분류의 스포츠시설 경영기획 수행 과정에서 '경영 전략 및 경영방침'을 적용해 문제를 해결하거나 성과를 낸 경험을 말씀해 주세요. 당시 상황과 과제, 본인 역할, 선택한 행동, 결과 지표와 학습을 포함해 설명해 주세요.",당시 상황과 본인이 맡은 역할을 구체적으로 설명해 주세요. | '경영 전략 및 경영방침'을 적용하기 위해 실제로 취한 행동은 무엇이었습니까? | 다른 선택지와 비교해 그 행동을 선택한 기준은 무엇이었습니까?,구체적 상황 설명 | 본인 역할과 행동 | 판단 근거와 협업 | 결과 지표와 학습 | 경영 전략 및 경영방침 적용 근거 | 소비자 패턴분석 능력 적용 근거,경영 전략 및 경영방침 | 소비자 패턴분석 능력 | 고객 소비자 특성을 정확히 파악하려는 자세,3,1.0,True,
303039,303039_1_직무기술서.zip,보안,보안,12. [강원랜드] 직무설명서_직원숙소 운영보조.pdf,2,상황면접,경비계획,1101010101_14v1,template_fallback,,,,False,no_model_question,"보안 세분류의 경비계획 업무 중 '현장(경비)조사 능력'과 관련해 출입 통제 예외 요청, 순찰 공백 가능성, 이상 상황 신고가 동시에 발생한 상황입니다. 어떤 기준으로 판단하고 위험요인을 어떻게 통제하며, 사실 확인부터 보고와 실행까지 어떤 순서로 행동하시겠습니까?","판단 전에 먼저 확인해야 할 사실과 기준은 무엇입니까? | '현장(경비)조사 능력'과 관련해 그 행동을 선택한 이유와 예상되는 위험요인은 무엇입니까? | 방문객, 현장 경비원, 시설 담당자, 보안 책임자 등 이해관계자에게 어떤 순서와 방식으로 설명하시겠습니까?",핵심 사실 확인 | 판단 기준 | 행동 순서와 첫 조치 | 위험요인 인식 | 환경조사분석기법 적용 근거 | 현장(경비)조사 능력 적용 근거,현장(경비)조사 능력 | 환경조사분석기법 | 고객의 요구사항에 대한 객관적 태도,3,1.0,True,
303039,303039_1_직무기술서.zip,구조물해체,구조물해체,3. [강원랜드] 직무설명서_슬로프 관리.pdf,3,발표면접,구조물해체 도면파악,1403021201_20v3,template_fallback,,,,False,no_model_question,"[발표과제] 구조물해체 세분류의 구조물해체 도면파악 업무에서 '도면 숙지 의지'와 관련된 설비 점검 기록, 도면, 작업허가서, 이상 징후 로그, 안전점검 결과가 주어졌다고 가정하고 준비시간 20분 후 현황 문제를 진단하고 개선안을 5분 발표해 주세요. 발표에는 현황 진단, 원인 분석, 대안 2가지, 실행 우선순위, 성과지표, 5분 질의응답 답변을 포함하세요 (구조물해체 도면파악이란 관련 도면을 보고 현장상황, 구조물의 형태, 구성재료 등 구조물해체 도면을 파악하는 능력이다.).",'도면 숙지 의지' 쟁점을 발표에서 진단할 때 핵심 근거 자료는 무엇입니까? | 대안 중 우선순위를 가장 높게 둔 방안과 그 이유는 무엇입니까? | 면접위원이 반대 의견을 제시한다면 어떤 근거로 답변하시겠습니까?,자료 분석력 | 논리적 구조화 | 대안의 실행가능성 | 실행계획 구체성 | KSF 1501 건축제도 통칙 적용 근거 | 각종 표시기호 활용 기술 적용 근거,도면 숙지 의지 | KSF 1501 건축제도 통칙 | 각종 표시기호 활용 기술,3,1.0,True,
303039,303039_1_직무기술서.zip,식음료접객,식음료접객,5. [강원랜드] 직무설명서_식음.pdf,4,토론면접,식음료 영업 준비,1301020101_22v3,template_fallback,,,,False,no_model_question,"[토론과제] 식음료접객 세분류의 식음료 영업 준비 업무에서 '영업장 메뉴' 관련 위생·품질 기준을 강화하는 입장과 조리 속도·영업 효율을 우선하는 입장이 충돌합니다. 토론시간 20분 동안 1분 입장발표 후 반대 의견의 타당한 부분을 확인하고, 본인의 초기 입장과 근거, 쟁점 조정 방식, 최종 합의안 도출 방식을 제시해 주세요.",'영업장 메뉴' 쟁점에서 본인의 초기 입장을 뒷받침하는 핵심 근거는 무엇입니까? | 반대 의견 중 수용할 수 있는 부분과 수용하기 어려운 부분은 무엇입니까? | 논의가 감정적 대립으로 흐를 때 어떻게 조정하시겠습니까?,입장발표 근거 | 경청과 상호작용 | 갈등 조정 | 최종 합의안 도출 | 기물종류 및 취급방법 적용 근거 | 기물 파지 및 운반 능력 적용 근거,영업장 메뉴 | 기물종류 및 취급방법 | 기물 파지 및 운반 능력,3,1.0,True,
303039,303039_1_직무기술서.zip,한식조리,한식조리,6. [강원랜드] 직무설명서_조리.pdf,5,인바스켓면접,한식 면류조리,1301010103_21v4,template_fallback,,,,False,no_model_question,"[인바스켓과제] 제한시간 30분 안에 한식조리 세분류의 한식 면류조리 관련 식재료 재고표, 위생점검 요청, 고객 불만 접수, 조리 일정 변경 문서가 동시에 들어왔습니다. '식재료 선별능력'을 기준으로 처리 우선순위와 상급자 보고, 위임, 직접처리 판단 및 첫 15분 행동을 제시해 주세요.","'식재료 선별능력' 기준으로 여러 문서와 요청을 어떻게 분류하겠습니까? | 가장 먼저 처리할 항목과 보류할 항목을 각각 무엇으로 보겠습니까? | 조리장, 홀 담당자, 위생 담당자, 고객 중 누구에게 보고, 위임, 직접 처리할지 어떻게 선택하겠습니까?",우선순위 판단 | 문서·요청 분류 | 보고·위임·직접처리 판단 | 시간관리 | 주재료의 종류 적용 근거 | 면 종류에 따라 사용하는 재료의 선택능력 적용 근거,식재료 선별능력 | 주재료의 종류 | 면 종류에 따라 사용하는 재료의 선택능력,3,1.0,True,
303039,303039_1_직무기술서.zip,양식조리,양식조리,6. [강원랜드] 직무설명서_조리.pdf,6,직무지식면접,양식 스톡조리,1301010202_21v4,template_fallback,,,,False,no_model_question,"양식조리 세분류의 양식 스톡조리에서 '스톡의 종류와 조리법'과 관련해 확인해야 할 절차, 기준, 관련 근거, 산출물을 설명하고 실제 업무에 적용할 때의 예외상황, 품질 점검 방법, 오류 예방 유의점을 말씀해 주세요.",'스톡의 종류와 조리법'과 관련해 반드시 확인해야 할 기준이나 규정은 무엇입니까? | 그 기준을 실제 업무에 적용할 때 자주 발생하는 예외상황은 무엇입니까? | 관련 산출물의 품질을 어떻게 점검하겠습니까?,절차·기준 이해 | 직무지식 적용 | 예외상황 판단 | 산출물 품질 | 스톡의 종류와 조리법 적용 근거 | 냉장·냉동고 관리 능력 적용 근거,스톡의 종류와 조리법 | 냉장·냉동고 관리 능력 | 반복훈련 태도,3,1.0,True,
303034,303034_1_직무기술서(사회복지사).hwp,사회복지 사례관리,사회복지사례관리,303034_1_직무기술서(사회복지사).hwp,1,경험면접,사회복지사례관리 실행계획 수립,0701020405_23v4,template_fallback,,,,False,no_model_question,"사회복지 사례관리 세분류의 사회복지사례관리 실행계획 수립 수행 과정에서 '강점관점 개념'을 적용해 문제를 해결하거나 성과를 낸 경험을 말씀해 주세요. 당시 상황과 과제, 본인 역할, 선택한 행동, 결과 지표와 학습을 포함해 설명해 주세요.",당시 상황과 본인이 맡은 역할을 구체적으로 설명해 주세요. | '강점관점 개념'을 적용하기 위해 실제로 취한 행동은 무엇이었습니까? | 다른 선택지와 비교해 그 행동을 선택한 기준은 무엇이었습니까?,"구체적 상황 설명 | 본인 역할과 행동 | 판단 근거와 협업 | 결과 지표와 학습 | 강점관점 개념 적용 근거 | 목적, 목표 작성기술 적용 근거","강점관점 개념 | 목적, 목표 작성기술 | 사례관리대상자의 욕구를 존중하는 자세",3,1.0,True,
303034,303034_1_직무기술서(사회복지사).hwp,사회복지 사례관리,사회복지사례관리,303034_1_직무기술서(사회복지사).hwp,2,상황면접,사회복지사례관리 실행계획 수립,0701020405_23v4,template_fallback,,,,False,no_model_question,"사회복지 사례관리 세분류의 사회복지사례관리 실행계획 수립 업무 중 '목적, 목표 작성기술'과 관련해 대상자 욕구 변경, 보호자 요청, 서비스 연계 일정 지연이 동시에 발생한 상황입니다. 어떤 기준으로 판단하고 위험요인을 어떻게 통제하며, 사실 확인부터 보고와 실행까지 어떤 순서로 행동하시겠습니까?","판단 전에 먼저 확인해야 할 사실과 기준은 무엇입니까? | '목적, 목표 작성기술'과 관련해 그 행동을 선택한 이유와 예상되는 위험요인은 무엇입니까? | 대상자, 보호자, 사례관리자, 연계기관 담당자 등 이해관계자에게 어떤 순서와 방식으로 설명하시겠습니까?","핵심 사실 확인 | 판단 기준 | 행동 순서와 첫 조치 | 위험요인 인식 | 강점관점 개념 적용 근거 | 목적, 목표 작성기술 적용 근거","목적, 목표 작성기술 | 강점관점 개념 | 사례관리대상자의 욕구를 존중하는 자세",3,1.0,True,
303034,303034_1_직무기술서(사회복지사).hwp,사회복지 사례관리,사회복지사례관리,303034_1_직무기술서(사회복지사).hwp,3,발표면접,사회복지사례관리 실행계획 수립,0701020405_23v4,template_fallback,,,,False,no_model_question,"[발표과제] 사회복지 사례관리 세분류의 사회복지사례관리 실행계획 수립 업무에서 '사례관리대상자의 욕구를 존중하는 자세'와 관련된 초기상담 기록, 욕구 사정표, 서비스 연계 현황, 대상자 동의 기록이 주어졌다고 가정하고 준비시간 20분 후 현황 문제를 진단하고 개선안을 5분 발표해 주세요. 발표에는 현황 진단, 원인 분석, 대안 2가지, 실행 우선순위, 성과지표, 5분 질의응답 답변을 포함하세요 (사회복지 사례관리 실행계획 수립이란 사례관리대상자와 함께 사정 내용을 근거로 개별화된 목표를 수립하고, 실행계획을 구체화하는).",'사례관리대상자의 욕구를 존중하는 자세' 쟁점을 발표에서 진단할 때 핵심 근거 자료는 무엇입니까? | 대안 중 우선순위를 가장 높게 둔 방안과 그 이유는 무엇입니까? | 면접위원이 반대 의견을 제시한다면 어떤 근거로 답변하시겠습니까?,"자료 분석력 | 논리적 구조화 | 대안의 실행가능성 | 실행계획 구체성 | 강점관점 개념 적용 근거 | 목적, 목표 작성기술 적용 근거","사례관리대상자의 욕구를 존중하는 자세 | 강점관점 개념 | 목적, 목표 작성기술",3,1.0,True,
303034,303034_1_직무기술서(사회복지사).hwp,사회복지 사례관리,사회복지사례관리,303034_1_직무기술서(사회복지사).hwp,4,토론면접,사회복지사례관리 실행계획 수립,0701020405_23v4,template_fallback,,,,False,no_model_question,"[토론과제] 사회복지 사례관리 세분류의 사회복지사례관리 실행계획 수립 업무에서 '역량강화(empowerment) 이론' 관련 대상자 자기결정권을 우선하는 입장과 기관 자원 배분 기준을 우선하는 입장이 충돌합니다. 토론시간 20분 동안 1분 입장발표 후 반대 의견의 타당한 부분을 확인하고, 본인의 초기 입장과 근거, 쟁점 조정 방식, 최종 합의안 도출 방식을 제시해 주세요.",'역량강화(empowerment) 이론' 쟁점에서 본인의 초기 입장을 뒷받침하는 핵심 근거는 무엇입니까? | 반대 의견 중 수용할 수 있는 부분과 수용하기 어려운 부분은 무엇입니까? | 논의가 감정적 대립으로 흐를 때 어떻게 조정하시겠습니까?,"입장발표 근거 | 경청과 상호작용 | 갈등 조정 | 최종 합의안 도출 | 강점관점 개념 적용 근거 | 목적, 목표 작성기술 적용 근거","역량강화(empowerment) 이론 | 강점관점 개념 | 목적, 목표 작성기술",3,1.0,True,
303034,303034_1_직무기술서(사회복지사).hwp,사회복지 사례관리,사회복지사례관리,303034_1_직무기술서(사회복지사).hwp,5,인바스켓면접,사회복지사례관리 실행계획 수립,0701020405_23v4,template_fallback,,,,False,no_model_question,"[인바스켓과제] 제한시간 30분 안에 사회복지 사례관리 세분류의 사회복지사례관리 실행계획 수립 관련 상담 기록지, 서비스 연계 요청서, 대상자 긴급 연락, 기관 회신 문서가 동시에 들어왔습니다. '정보수집 기술'을 기준으로 처리 우선순위와 상급자 보고, 위임, 직접처리 판단 및 첫 15분 행동을 제시해 주세요.","'정보수집 기술' 기준으로 여러 문서와 요청을 어떻게 분류하겠습니까? | 가장 먼저 처리할 항목과 보류할 항목을 각각 무엇으로 보겠습니까? | 대상자, 보호자, 사례관리자, 연계기관 담당자 중 누구에게 보고, 위임, 직접 처리할지 어떻게 선택하겠습니까?","우선순위 판단 | 문서·요청 분류 | 보고·위임·직접처리 판단 | 시간관리 | 강점관점 개념 적용 근거 | 목적, 목표 작성기술 적용 근거","정보수집 기술 | 강점관점 개념 | 목적, 목표 작성기술",3,1.0,True,
