idx,attachment,status,benchmark_mode,resolved_benchmark_mode,strategy_generation_policy,strategy_error,strategy_warning,detail_count,detail_source,exact_detail_count,unit_name_detail_count,unmatched_detail_count,skipped_detail_count,uncovered_detail_count,generated_questions,ready_questions,needs_review_questions,model_candidate_questions,model_questions,model_ready_questions,model_replaced_by_template_questions,template_inserted_questions,template_fallback_questions,template_fallback_ready_questions,average_score,coverage_adjusted_score,coverage_passed,template_adjusted_passed,strict_template_passed,model_quality_passed,passed,details,exact_details,unit_name_details,unmatched_details,skipped_details,manual_review_suggestions,error
303039,303039_1_직무기술서.zip,template_ready_unit_name_resolved,template,template,template_benchmark_no_model,,,15,explicit,13,2,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,0.0,False,True,False,False,False,스포츠시설운영관리; 보안; 구조물해체; 카지노 고객 지원; 식음료접객; 한식조리; 양식조리; 중식조리; 일식조리; 복어조리; 제과; 제빵; 카지노 영업 지원; 카지노운영관리; 사무행정,스포츠시설운영관리; 보안; 구조물해체; 식음료접객; 한식조리; 양식조리; 중식조리; 일식조리; 복어조리; 제과; 제빵; 카지노운영관리; 사무행정,카지노 고객 지원; 카지노 영업 지원,,,,
303037,303037_1_3. [KCTI] 직무기술서(위촉연구원).pdf,no_exact_units,template,template,,,,1,explicit,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,False,False,False,False,문화〮관광정책,,,문화〮관광정책,,"문화〮관광정책: manual-review-only: explicit JD label, but current local NCS_MCP has no exact detail or unit-name coverage",
303036,303036_1_강원대학교병원 채용 직무 설명자료.pdf,parsed_no_detail,template,template,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,False,False,False,False,,,,,,,
303035,303035_1_강원대학교병원 채용 직무 설명자료.pdf,parsed_no_detail,template,template,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,False,False,False,False,,,,,,,
303034,303034_1_직무기술서(사회복지사).hwp,template_ready,template,template,template_benchmark_no_model,,,1,explicit,1,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,1.0,True,True,True,False,False,사회복지 사례관리,사회복지 사례관리,,,,,
303033,303033_1_직무기술서(간호사).hwp,template_ready_partial_detail_coverage,template,template,template_benchmark_no_model,,,4,explicit,2,0,2,0,2,6,6,0,0,0,0,0,6,6,6,1.0,0.0,False,True,False,False,False,간호수행; 간호행정관리; 총무; 사무행정,총무; 사무행정,,간호수행; 간호행정관리,,간호수행: manual-review-only: no exact local/public NCS hit for nursing-performance label | 간호행정관리: manual-review-only: no exact local/public NCS hit; broad 병원행정 candidates are too weak for automatic coverage,
303031,303031_1_KCTI 26년 직무기술서(위촉연구원).pdf,no_exact_units,template,template,,,,1,explicit,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,False,False,False,False,문화・관광정책,,,문화・관광정책,,"문화・관광정책: manual-review-only: explicit JD label, but current local NCS_MCP has no exact detail or unit-name coverage",
303019,303019_1_직무기술서.hwp,template_ready,template,template,template_benchmark_no_model,,,1,explicit,1,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,1.0,True,True,True,False,False,화물운송,화물운송,,,,,
303018,303018_1_3.양양지사 기간제근로자(안전순찰원) 직무기술서.hwp,parsed_no_detail,template,template,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,False,False,False,False,,,,,,,
303017,303017_1_직무기술서.pdf,template_ready,template,template,template_benchmark_no_model,,,1,explicit,1,0,0,0,0,6,6,0,0,0,0,0,6,6,6,1.0,1.0,True,True,True,False,False,환경미화,환경미화,,,,,
