idx,attachment,detail,canonical_detail,member,question_index,type,competency,ncsClCd,question_source,model_question_raw,model_followups_raw,model_evaluation_points_raw,model_question_preserved,model_replacement_reasons,question,follow_ups,evaluation_points,ksa_refs,ksa_evidence_count,score,ready,issues
303039,303039_1_직무기술서.zip,스포츠시설운영관리,스포츠시설운영관리,1. [강원랜드] 직무설명서_워터월드 수상안전.pdf; 11. [강원랜드] 직무설명서_체육시설관리(복지관 운영보조).pdf; 2. [강원랜드] 직무설명서_레저운영.pdf,1,경험면접,스포츠시설 경영기획,1204020201_22v3,model,"스포츠시설 경영기획에서 경영 전략 및 경영방침을 적용했던 경험을 말씀해 주세요. 당시 상황, 본인 역할, 선택한 행동, 결과와 학습을 포함해 설명해 주세요.",경영 전략 및 경영방침을 적용하는 과정에서 스포츠시설 경영기획 판단이나 행동을 선택한 이유는 무엇입니까? | 당시 스포츠시설 경영기획에서 본인이 직면한 어려움은 무엇이었습니까? | 이 경험을 통해 얻은 가장 큰 교훈은 무엇입니까?,구체적 상황 설명 | 본인 역할과 행동 | 성과와 학습,True,,"스포츠시설 경영기획에서 경영 전략 및 경영방침을 적용했던 경험을 말씀해 주세요. 당시 상황, 본인 역할, 선택한 행동, 결과와 학습을 포함해 설명해 주세요.",경영 전략 및 경영방침을 적용하는 과정에서 스포츠시설 경영기획 판단이나 행동을 선택한 이유는 무엇입니까? | 당시 스포츠시설 경영기획에서 본인이 직면한 어려움은 무엇이었습니까? | 이 경험을 통해 얻은 가장 큰 교훈은 무엇입니까?,구체적 상황 설명 | 본인 역할과 행동 | 성과와 학습 | 판단 근거와 협업 | 결과 지표와 학습 | 경영 전략 및 경영방침 적용 근거,경영 전략 및 경영방침 | 소비자 패턴분석 능력 | 고객 소비자 특성을 정확히 파악하려는 자세,3,1.0,True,
303039,303039_1_직무기술서.zip,보안,보안,12. [강원랜드] 직무설명서_직원숙소 운영보조.pdf,2,상황면접,경비계획,1101010101_14v1,model,"경비계획 중 현장(경비)조사 능력와 관련한 구체적 상황입니다. 어떤 판단 기준으로 위험을 통제하고, 사실 확인부터 보고와 실행까지 어떤 순서로 행동하시겠습니까?",현장(경비)조사 능력을 기준으로 그 판단이나 행동을 선택한 이유는 무엇입니까? | 위험 통제를 위해 먼저 확인해야 할 상황·자료·문서는 무엇입니까? | 결과 확인 및 후속 점검은 어떻게 하겠습니까?,판단 기준 | 위험 요인 인식 | 행동 우선순위,True,,"경비계획 중 현장(경비)조사 능력와 관련한 구체적 상황입니다. 어떤 판단 기준으로 위험을 통제하고, 사실 확인부터 보고와 실행까지 어떤 순서로 행동하시겠습니까?",현장(경비)조사 능력을 기준으로 그 판단이나 행동을 선택한 이유는 무엇입니까? | 위험 통제를 위해 먼저 확인해야 할 상황·자료·문서는 무엇입니까? | 결과 확인 및 후속 점검은 어떻게 하겠습니까?,판단 기준 | 위험 요인 인식 | 행동 우선순위 | 핵심 사실 확인 | 행동 순서와 첫 조치 | 위험요인 인식,현장(경비)조사 능력 | 환경조사분석기법 | 고객의 요구사항에 대한 객관적 태도,3,1.0,True,
303039,303039_1_직무기술서.zip,구조물해체,구조물해체,3. [강원랜드] 직무설명서_슬로프 관리.pdf,3,발표면접,구조물해체 도면파악,1403021201_20v3,model,"[발표과제] 구조물해체 도면파악에서 도면 숙지 의지가 주어졌다고 가정하고 준비시간 20분 후 현황을 진단하고 대안 2가지, 실행계획, 성과지표를 5분 발표하고 5분 질의응답 답변을 포함해 주세요.",도면 숙지 의지를 발표 쟁점으로 볼 때 구조물해체 도면파악 현황 진단의 근거자료는 무엇입니까? | 선택한 대안의 이유는 무엇입니까? | 질의응답에 대한 대비는 어떻게 하셨습니까?,자료 분석력 | 논리적 구조화 | 대안의 실행 가능성,True,,"[발표과제] 구조물해체 도면파악에서 도면 숙지 의지가 주어졌다고 가정하고 준비시간 20분 후 현황을 진단하고 대안 2가지, 실행계획, 성과지표를 5분 발표하고 5분 질의응답 답변을 포함해 주세요.",도면 숙지 의지를 발표 쟁점으로 볼 때 구조물해체 도면파악 현황 진단의 근거자료는 무엇입니까? | 선택한 대안의 이유는 무엇입니까? | 질의응답에 대한 대비는 어떻게 하셨습니까?,자료 분석력 | 논리적 구조화 | 대안의 실행 가능성 | 대안의 실행가능성 | 실행계획 구체성 | KSF 1501 건축제도 통칙 적용 근거,도면 숙지 의지 | KSF 1501 건축제도 통칙 | 각종 표시기호 활용 기술,3,1.0,True,
303039,303039_1_직무기술서.zip,식음료접객,식음료접객,5. [강원랜드] 직무설명서_식음.pdf,4,토론면접,식음료 영업 준비,1301020101_22v3,model,"[토론과제] 식음료 영업 준비에서 영업장 메뉴 관련 두 입장이 충돌합니다. 토론시간 20분 동안 1분 입장발표 후 반대 의견 검토, 조정 방식, 최종 합의안을 토론해 주세요.",영업장 메뉴를 토론 쟁점으로 볼 때 식음료 영업 준비 입장발표의 근거는 무엇입니까? | 반대 의견에 대한 대처 방식은 무엇입니까? | 최종 합의안을 도출하기 위한 조정 과정은 어떻게 이루어질 것입니까?,입장발표 근거 | 경청과 상호작용 | 갈등 조정,True,,"[토론과제] 식음료 영업 준비에서 영업장 메뉴 관련 두 입장이 충돌합니다. 토론시간 20분 동안 1분 입장발표 후 반대 의견 검토, 조정 방식, 최종 합의안을 토론해 주세요.",영업장 메뉴를 토론 쟁점으로 볼 때 식음료 영업 준비 입장발표의 근거는 무엇입니까? | 반대 의견에 대한 대처 방식은 무엇입니까? | 최종 합의안을 도출하기 위한 조정 과정은 어떻게 이루어질 것입니까?,입장발표 근거 | 경청과 상호작용 | 갈등 조정 | 최종 합의안 도출 | 기물종류 및 취급방법 적용 근거 | 기물 파지 및 운반 능력 적용 근거,영업장 메뉴 | 기물종류 및 취급방법 | 기물 파지 및 운반 능력,3,1.0,True,
303039,303039_1_직무기술서.zip,한식조리,한식조리,6. [강원랜드] 직무설명서_조리.pdf,5,인바스켓면접,한식 면류조리,1301010103_21v4,model,"[인바스켓과제] 제한시간 안에 한식 면류조리 관련 여러 문서와 요청이 들어왔습니다. 식재료 선별능력을 기준으로 우선순위, 보고, 위임, 직접처리 판단을 제시해 주세요.",식재료 선별능력을 처리 기준으로 삼아 한식 면류조리 우선순위를 정한 이유는 무엇입니까? | 문서와 요청을 분류하기 위해 어떤 기준을 사용하셨습니까? | 직접 처리할 사항은 무엇이었고 그 이유는 무엇입니까?,우선순위 판단 | 문서·요청 분류 | 시간 관리,True,,"[인바스켓과제] 제한시간 안에 한식 면류조리 관련 여러 문서와 요청이 들어왔습니다. 식재료 선별능력을 기준으로 우선순위, 보고, 위임, 직접처리 판단을 제시해 주세요.",식재료 선별능력을 처리 기준으로 삼아 한식 면류조리 우선순위를 정한 이유는 무엇입니까? | 문서와 요청을 분류하기 위해 어떤 기준을 사용하셨습니까? | 직접 처리할 사항은 무엇이었고 그 이유는 무엇입니까?,우선순위 판단 | 문서·요청 분류 | 시간 관리 | 보고·위임·직접처리 판단 | 시간관리 | 주재료의 종류 적용 근거,식재료 선별능력 | 주재료의 종류 | 면 종류에 따라 사용하는 재료의 선택능력,3,1.0,True,
303039,303039_1_직무기술서.zip,양식조리,양식조리,6. [강원랜드] 직무설명서_조리.pdf,6,직무지식면접,양식 스톡조리,1301010202_21v4,model,"양식 스톡조리에서 안전사항 준수와 관련해 확인해야 할 절차, 기준, 산출물, 예외상황 대응과 품질 점검 방법을 설명해 주세요.",안전사항 준수와 관련한 기준으로 양식 스톡조리 절차를 어떻게 확인하겠습니까? | 예외 상황 발생 시 어떻게 대응할 것인지 설명해 주세요. | 품질 점검을 위한 구체적인 방법은 무엇입니까?,절차·기준 이해 | 직무지식 적용 | 산출물 품질,True,,"양식 스톡조리에서 안전사항 준수와 관련해 확인해야 할 절차, 기준, 산출물, 예외상황 대응과 품질 점검 방법을 설명해 주세요.",안전사항 준수와 관련한 기준으로 양식 스톡조리 절차를 어떻게 확인하겠습니까? | 예외 상황 발생 시 어떻게 대응할 것인지 설명해 주세요. | 품질 점검을 위한 구체적인 방법은 무엇입니까?,절차·기준 이해 | 직무지식 적용 | 산출물 품질 | 예외상황 판단 | 스톡의 종류와 조리법 적용 근거 | 냉장·냉동고 관리 능력 적용 근거,안전사항 준수 | 스톡의 종류와 조리법 | 냉장·냉동고 관리 능력,3,1.0,True,
303039,303039_1_직무기술서.zip,중식조리,중식조리,6. [강원랜드] 직무설명서_조리.pdf,7,창의적 문제해결력면접,중식 절임·무침조리,1301010302_21v4,model,"[창의적 문제해결력과제] 중식 절임·무침조리에서 곁들임 메뉴 구성과 관련해 복합 문제가 발생했습니다. 미래예측 관점에서 핵심 문제를 정의하고 원인 가설, 창의적 대안 2가지, 검증 방법, 실현가능성, 의사결정 기준, 실행계획과 성과지표를 제시해 주세요.",곁들임 메뉴 구성과 관련한 원인과 대안 관점에서 중식 절임·무침조리 문제를 어떻게 검증하겠습니까? | 대안을 선택한 이유는 무엇입니까? | 실행계획의 성과지표는 무엇으로 설정하셨습니까?,미래예측과 문제 정의 | 창의적 사고와 대안 도출 | 검증 방법,True,,"[창의적 문제해결력과제] 중식 절임·무침조리에서 곁들임 메뉴 구성과 관련해 복합 문제가 발생했습니다. 미래예측 관점에서 핵심 문제를 정의하고 원인 가설, 창의적 대안 2가지, 검증 방법, 실현가능성, 의사결정 기준, 실행계획과 성과지표를 제시해 주세요.",곁들임 메뉴 구성과 관련한 원인과 대안 관점에서 중식 절임·무침조리 문제를 어떻게 검증하겠습니까? | 대안을 선택한 이유는 무엇입니까? | 실행계획의 성과지표는 무엇으로 설정하셨습니까?,미래예측과 문제 정의 | 창의적 사고와 대안 도출 | 검증 방법 | 실현가능성 | 곁들임 메뉴 구성 적용 근거 | 무침 양념의 선택 능력 적용 근거,곁들임 메뉴 구성 | 무침 양념의 선택 능력 | 반복훈련,3,1.0,True,
303034,303034_1_직무기술서(사회복지사).hwp,사회복지 사례관리,사회복지사례관리,303034_1_직무기술서(사회복지사).hwp,1,경험면접,사회복지사례관리 실행계획 수립,0701020405_23v4,model,"사회복지사례관리 실행계획 수립에서 강점관점 개념을 적용했던 경험을 말씀해 주세요. 당시 상황, 본인 역할, 선택한 행동, 결과와 학습을 포함해 설명해 주세요.","강점관점 개념을 적용하는 과정에서 사회복지사례관리 실행계획 수립 판단이나 행동을 선택한 이유는 무엇입니까? | 당시 어려움은 무엇입니까? | 결과는 어땠고, 어떤 학습이 있었습니까?",구체적 상황 설명 | 본인 역할과 행동 | 성과와 학습,True,,"사회복지사례관리 실행계획 수립에서 강점관점 개념을 적용했던 경험을 말씀해 주세요. 당시 상황, 본인 역할, 선택한 행동, 결과와 학습을 포함해 설명해 주세요.","강점관점 개념을 적용하는 과정에서 사회복지사례관리 실행계획 수립 판단이나 행동을 선택한 이유는 무엇입니까? | 당시 어려움은 무엇입니까? | 결과는 어땠고, 어떤 학습이 있었습니까?",구체적 상황 설명 | 본인 역할과 행동 | 성과와 학습 | 판단 근거와 협업 | 결과 지표와 학습 | 강점관점 개념 적용 근거,"강점관점 개념 | 목적, 목표 작성기술 | 사례관리대상자의 욕구를 존중하는 자세",3,1.0,True,
303034,303034_1_직무기술서(사회복지사).hwp,사회복지 사례관리,사회복지사례관리,303034_1_직무기술서(사회복지사).hwp,2,상황면접,사회복지사례관리 실행계획 수립,0701020405_23v4,model,"사회복지사례관리 실행계획 수립 중 목적, 목표 작성기술와 관련한 구체적 상황입니다. 어떤 판단 기준으로 위험을 통제하고, 사실 확인부터 보고와 실행까지 어떤 순서로 행동하시겠습니까?","목적, 목표 작성기술을 기준으로 그 판단이나 행동을 선택한 이유는 무엇입니까? | 그 상황에서 확인해야 할 사실은 무엇입니까? | 결과 확인 및 후속 조치는 어떻게 하겠습니까?",판단 기준 | 위험요인 인식 | 이해관계자 대응,True,,"사회복지사례관리 실행계획 수립 중 목적, 목표 작성기술와 관련한 구체적 상황입니다. 어떤 판단 기준으로 위험을 통제하고, 사실 확인부터 보고와 실행까지 어떤 순서로 행동하시겠습니까?","목적, 목표 작성기술을 기준으로 그 판단이나 행동을 선택한 이유는 무엇입니까? | 그 상황에서 확인해야 할 사실은 무엇입니까? | 결과 확인 및 후속 조치는 어떻게 하겠습니까?",판단 기준 | 위험요인 인식 | 이해관계자 대응 | 핵심 사실 확인 | 행동 순서와 첫 조치 | 강점관점 개념 적용 근거,"목적, 목표 작성기술 | 강점관점 개념 | 사례관리대상자의 욕구를 존중하는 자세",3,1.0,True,
303034,303034_1_직무기술서(사회복지사).hwp,사회복지 사례관리,사회복지사례관리,303034_1_직무기술서(사회복지사).hwp,3,발표면접,사회복지사례관리 실행계획 수립,0701020405_23v4,model,"[발표과제] 사회복지사례관리 실행계획 수립에서 사례관리대상자의 욕구를 존중하는 자세와 관련 자료가 주어졌다고 가정하고 준비시간 20분 후 현황을 진단하고 대안 2가지, 실행계획, 성과지표를 5분 발표하고 5분 질의응답 답변을 포함해 주세요.",사례관리대상자의 욕구를 존중하는 자세을 발표 쟁점으로 볼 때 사회복지사례관리 실행계획 수립 현황 진단의 근거자료는 무엇입니까? | 선택한 대안의 이유는 무엇입니까? | 질의응답에 대해 어떻게 준비하셨습니까?,자료 분석력 | 논리적 구조화 | 대안의 실행가능성,True,,"[발표과제] 사회복지사례관리 실행계획 수립에서 사례관리대상자의 욕구를 존중하는 자세와 관련 자료가 주어졌다고 가정하고 준비시간 20분 후 현황을 진단하고 대안 2가지, 실행계획, 성과지표를 5분 발표하고 5분 질의응답 답변을 포함해 주세요.",사례관리대상자의 욕구를 존중하는 자세을 발표 쟁점으로 볼 때 사회복지사례관리 실행계획 수립 현황 진단의 근거자료는 무엇입니까? | 선택한 대안의 이유는 무엇입니까? | 질의응답에 대해 어떻게 준비하셨습니까?,"자료 분석력 | 논리적 구조화 | 대안의 실행가능성 | 실행계획 구체성 | 강점관점 개념 적용 근거 | 목적, 목표 작성기술 적용 근거","사례관리대상자의 욕구를 존중하는 자세 | 강점관점 개념 | 목적, 목표 작성기술",3,1.0,True,
303034,303034_1_직무기술서(사회복지사).hwp,사회복지 사례관리,사회복지사례관리,303034_1_직무기술서(사회복지사).hwp,4,토론면접,사회복지사례관리 실행계획 수립,0701020405_23v4,model,"[토론과제] 사회복지사례관리 실행계획 수립에서 역량강화(empowerment) 이론 관련 두 입장이 충돌합니다. 토론시간 20분 동안 1분 입장발표 후 반대 의견 검토, 조정 방식, 최종 합의안을 토론해 주세요.",역량강화(empowerment) 이론을 토론 쟁점으로 볼 때 사회복지사례관리 실행계획 수립 입장발표의 근거는 무엇입니까? | 반대 의견에 대한 당신의 생각은 무엇입니까? | 조정 과정에서 어떤 방식으로 의견을 모으셨습니까?,입장발표 근거 | 경청과 상호작용 | 최종 합의안 도출,True,,"[토론과제] 사회복지사례관리 실행계획 수립에서 역량강화(empowerment) 이론 관련 두 입장이 충돌합니다. 토론시간 20분 동안 1분 입장발표 후 반대 의견 검토, 조정 방식, 최종 합의안을 토론해 주세요.",역량강화(empowerment) 이론을 토론 쟁점으로 볼 때 사회복지사례관리 실행계획 수립 입장발표의 근거는 무엇입니까? | 반대 의견에 대한 당신의 생각은 무엇입니까? | 조정 과정에서 어떤 방식으로 의견을 모으셨습니까?,"입장발표 근거 | 경청과 상호작용 | 최종 합의안 도출 | 갈등 조정 | 강점관점 개념 적용 근거 | 목적, 목표 작성기술 적용 근거","역량강화(empowerment) 이론 | 강점관점 개념 | 목적, 목표 작성기술",3,1.0,True,
